CHAMADO,DT_ABERTURA_CHAMADO,TIPO_CHAMADO,MODULO_CHAMADO,COMPLEXIDADE,IS,ANOMES_ABERTURA
TASK105715008-1,2024-03-20 08:39:06,Melhoria,Financeiro,N3,GUSB,202403
TASK105716497-1,2024-03-21 05:12:24,Perfis,Infra,N1,JOJC,202403
TASK105716507-1,2024-03-21 08:43:04,Perfis,Infra,N1,MIDS,202403
TASK105717916-1,2024-03-22 06:56:27,Perfis,Infra,N1,GRIA,202403
TASK105721870-1,2024-03-26 05:35:12,Perfis,Infra,N1,FANT,202403
TASK105721874-1,2024-03-26 07:04:51,Perfis,Infra,N1,WJMS,202403
TASK105721875-1,2024-03-26 07:30:50,Suporte,Financeiro,N1,CRSI,202403
TASK105721876-1,2024-03-26 07:34:56,Suporte,Compras,N1,RTEC,202403
TASK105722942-1,2024-03-27 08:46:03,Perfis,Infra,N1,ESCM,202403
TASK105722946-1,2024-03-27 09:05:49,Perfis,Infra,N1,MGRK,202403
TASK105722954-1,2024-03-27 11:49:34,Perfis,Infra,N1,JOJC,202403
TASK105722959-1,2024-03-27 12:32:41,Suporte,BI,N1,WPDM,202403
TASK105475905-1,2023-08-08 05:56:43,Suporte,Compras,N1,T3JFBD,202308
TASK105479055-1,2023-08-10 14:16:03,Manutenção,Compras,N1,JMAP3,202308
TASK105067527-1,2022-09-15 11:57:31,Projetos,Infra,N2,MIDS,202209
TASK105709813-1,2024-03-14 09:48:05,Projetos,Vendas,N2,PMSN,202403
TASK105540192-1,2023-10-02 10:09:52,Suporte,Financeiro,N3,PMSC,202310
TASK105721383-1,2024-03-25 12:09:02,Perfis,Infra,N1,GRIA,202403
TASK105528629-1,2023-09-22 14:29:43,Manutenção,Dev,N1,T3TDAS,202309
TASK105568628-1,2023-10-31 13:02:22,Melhoria,Produção,N3,T3LSC2,202310
TASK105634349-1,2024-01-02 05:33:25,Melhoria,Vendas,N3,ARDA2,202401
TASK105635911-1,2024-01-04 08:40:50,Suporte,Vendas,N1,JVF,202401
TASK105635913-1,2024-01-04 08:51:30,Suporte,Vendas,N1,PCSF,202401
TASK105660175-1,2024-01-29 12:28:40,Suporte,Vendas,N1,AZBU,202401
TASK105485128-1,2023-08-15 14:46:45,Projetos,Custos,N3,T3CIBM,202308
